Season,Date
1984-1985,3/14/1985
1985-1986,3/13/1986
1986-1987,3/12/1987
1987-1988,3/17/1988
1988-1989,3/16/1989
1989-1990,3/15/1990
1990-1991,3/14/1991
1991-1992,3/19/1992
1992-1993,3/18/1993
1993-1994,3/17/1994
1994-1995,3/16/1995
1995-1996,3/14/1996
1996-1997,3/13/1997
1997-1998,3/12/1998
1998-1999,3/11/1999
1999-2000,3/16/2000
2000-2001,3/13/2001
2001-2002,3/12/2002
2002-2003,3/18/2003
2003-2004,3/16/2004
2004-2005,3/15/2005
2005-2006,3/14/2006
2006-2007,3/13/2007
2007-2008,3/18/2008
2008-2009,3/17/2009
2009-2010,3/16/2010
2010-2011,3/15/2011
2011-2012,3/13/2012
2012-2013,3/19/2013
2013-2014,3/18/2014
2014-2015,3/17/2015
2015-2016,3/15/2016
2016-2017,3/14/2017
2017-2018,3/13/2018
2018-2019,3/19/2019
